10, 45, 7e-07
20, 190, 1.5e-06
30, 435, 3.8e-06
40, 780, 5.3e-06
50, 1225, 7.7e-06
60, 1770, 1.71e-05
70, 2415, 1.52e-05
80, 3160, 2.02e-05
100, 4950, 2.61e-05
125, 7750, 4.9e-05
150, 11175, 5.83e-05
175, 15225, 8.13e-05
200, 19900, 9.93e-05
250, 31125, 0.0001682
300, 44850, 0.000219
400, 79800, 0.0004167
500, 124750, 0.0006045
750, 280313, 0.0013986
1000, 496214, 0.0024758
2000, 1.97531e+06, 0.0099735
3000, 4.43503e+06, 0.0241507
4000, 7.84291e+06, 0.0408203
5000, 1.21996e+07, 0.06722
7500, 2.70563e+07, 0.138412
10000, 4.7547e+07, 0.240579
20000, 1.82431e+08, 0.911882

