10, 45, 7e-07
20, 190, 2e-06
30, 435, 4.8e-06
40, 780, 7.7e-06
50, 1225, 1.09e-05
60, 1770, 2.21e-05
70, 2415, 2.07e-05
80, 3160, 2.64e-05
100, 4950, 3.64e-05
125, 7750, 7.21e-05
150, 11175, 8.15e-05
175, 15225, 0.0001103
200, 19900, 0.0001378
250, 31125, 0.0002325
300, 44850, 0.0003108
400, 79800, 0.0005558
500, 124750, 0.0008573
750, 280875, 0.0019647
1000, 499500, 0.0033769
2000, 1.999e+06, 0.0143479
3000, 4.4985e+06, 0.036566
4000, 7.998e+06, 0.0591231
5000, 1.24975e+07, 0.0975244
7500, 2.81212e+07, 0.204623
10000, 4.9995e+07, 0.355579
20000, 1.9999e+08, 1.39993

